EIGENTUEMER1,SPANNUNG1,EIGENTUEMER2,SPANNUNG2,EIGENTUEMER3,SPANNUNG3,EIGENTUEMER4,SPANNUNG4,GMLLD,BEZEICHNUNG,LEITUNG_TYP,BETRIEBSSTATUS,SPANNUNG_BEZEICHNUNG,BEMERKUNG,BUFFER,SHAPE.LEN
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,912.548520627216
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,3003.84606369112
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,3000.5422190149
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,2788.52451571888
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,1989.18998256231
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,3726.48381752157
EWZ,150,,,,,,,,,Kabelleitung,inBetrieb,Hochspannung,,41,2177.63612040135
EWZ,150,,,,,,,,,Kabelleitung,Geplant,Hochspannung,,41,4806.8936829302
EWZ,150,,,,,,,,,Kabelleitung,Geplant,Hochspannung,,41,7595.50386522665
EWZ,150,,,,,,,,,Kabelleitung,Geplant,Hochspannung,,41,1894.79809486634
